antiga;atual
S3 - DEPÓSITO SEPAT;S3 - DEPÓSITO PATRIMÔNIO
03 - CGTI;03 - INFORMÁTICA
02 - CCOM;02 - COMUNICAÇÃO
09 - CDPROF;09 - GEX-DPROF
10 - COTEC;10 - GEX-RNOR
08 - COFIS;08 - GEX-FIS
10 - CCI;10 - GEX-CSIS
08 - CGE;08 - GEX-GEST
04 - DIGEO;04 - DGOV
07 - SEPAT;07 - GESERV
07 - COLOG;07 - GSERV
04 - CCOM STUDIO;04 - COMUNICAÇÃO (ESTÚDIO)
07 - DEPAD;07 - GELAI
08 - COFIS - SALA DE REUNIÃO;08 - GEX-FIS (SALA DE REUNIÃO)
07 - DELIC;07 - GELIC
09 - COREG;09 - GEX-REIP
S1 - SETRAN;S1 - SALA DOS MOTORISTAS
07 - DEPES;07 - GEDEP
07 - DEGEP;07 - GECONT
04 - DIEPG;04 - DGFIN
04 - DEPEV;04 - SALA DIRETORIA
07 - DEFIN;07 - GEX-GAFI
09 - EGC;09 - ASSESSORES
S1 - SEPROT;S1 - ALMOXARIFADO
07 - DECONT;07 - GEX-GAFI
07 - COAD;07 - GEX-LIC
08 - CGE - SALA DE REUNIÃO;08 - GEX-GEST (SALA DE REUNIÃO)
07 - COAD - SALA DE REUNIÃO;07 - GEX-LIC (SALA DE REUNIÃO)
10 - CCI - SALA DE REUNIÃO;10 - GEX-CSIS (SALA DE REUNIÃO)
09 - CDPROF - SALA DE REUNIÃO;09 - GEX-DPROF (SALA DE REUNIÃO)
09 - COREG - SALA DE REUNIÃO;09 - GEX-REIP (SALA DE REUNIÃO)
10 - VP - CONTROLE INTERNO;10 - VP - CONTROLE
09 - EGC - SALA REUNIÃO;09 - CONS. CONSULTIVO (SALA REUNIÃO)
09 - SALA VP;09 - CONS. CONSULTIVO VP
08 - SALA VP - VIGGE;08 - SALA VP - GEX-GEST
S2 - DEPÓSITO DECER;S2 - DEPÓSITO CERIMONIAL
10 - COTEC - SALA DE REUNIÃO;10 - GEX-RNOR (SALA DE REUNIÃO)
13 - PLENÁRIO - COPA;13 - PLENÁRIO (COPA)
